soil_moisture,temperature,humidity,water
61,37.3,78.3,0
24,23.7,70.4,0
70,32.5,74.2,0
30,36.0,45.5,1
33,30.2,39.8,1
12,29.7,71.3,0
31,23.3,74.4,0
62,20.0,84.5,0
11,37.7,52.7,1
39,37.8,50.5,1
47,31.9,72.7,0
11,25.5,48.7,1
73,25.7,81.2,0
69,34.0,77.2,0
30,37.7,53.6,1
42,37.5,71.3,1
67,35.2,71.5,0
31,32.1,35.7,1
58,19.9,79.6,0
68,21.6,57.8,0
51,37.8,75.5,0
69,31.3,47.6,0
24,18.2,79.3,0
71,20.2,51.4,0
71,32.6,30.6,1
56,18.1,79.8,0
71,21.5,35.0,0
60,30.1,47.6,0
64,33.2,82.3,0
73,32.3,82.3,0
12,22.9,61.5,1
60,33.7,64.8,1
16,23.2,54.7,1
30,25.2,46.1,1
48,34.4,48.1,1
27,32.3,67.0,1
13,36.7,71.4,1
69,32.5,73.5,0
23,30.5,73.4,0
18,20.1,35.0,1
62,26.1,57.2,0
11,23.8,33.2,1
69,23.4,60.2,0
80,39.4,54.3,1
53,26.6,78.8,0
17,37.6,49.3,1
56,31.9,36.4,0
44,35.5,37.9,1
45,29.1,71.9,0
59,30.7,64.0,0
13,28.8,35.6,1
11,22.3,34.6,1
15,33.9,68.6,1
63,24.2,34.0,0
13,18.5,75.2,0
63,32.2,68.8,1
72,21.9,34.5,0
27,38.7,34.7,1
53,39.0,84.3,0
43,38.1,50.6,1
71,26.1,50.4,0
23,18.3,74.7,0
57,38.4,82.1,0
24,27.4,84.2,0
71,39.3,71.4,0
49,39.2,50.7,1
62,36.8,34.6,1
33,24.5,72.7,0
35,26.5,60.7,1
69,36.7,53.3,1
50,25.0,79.8,0
38,21.7,36.1,1
24,30.2,57.1,1
54,38.6,30.6,1
74,33.3,55.8,1
80,30.5,33.1,0
18,20.1,36.5,1
10,31.5,36.5,1
17,39.8,65.7,1
72,21.1,71.0,0
20,29.4,62.1,1
17,37.3,82.9,1
44,34.3,50.6,1
44,33.3,45.7,1
42,33.5,77.8,1
14,25.9,42.3,1
50,24.5,83.0,0
37,35.8,30.7,1
16,35.8,83.3,1
21,37.1,32.4,1
43,38.1,79.0,1
42,29.2,59.0,1
57,29.0,84.6,0
32,35.6,34.1,1
71,32.3,60.5,1
46,33.4,83.3,0
53,35.5,58.8,1
44,37.6,64.6,1
74,25.4,68.3,0
56,26.3,55.0,0
12,20.1,64.5,1
10,30.7,62.1,1
14,18.8,79.6,0
23,28.2,32.5,1
36,29.9,45.5,1
18,24.3,82.3,0
24,31.0,79.0,0
51,18.7,55.1,0
60,18.8,64.1,0
72,36.1,45.3,1
61,25.9,40.3,0
13,20.8,55.5,1
32,29.5,49.4,1
24,34.9,62.1,1
52,22.7,34.3,0
38,31.7,83.6,0
45,19.9,84.2,0
22,19.1,68.4,1
41,29.7,59.5,1
80,29.9,47.0,0
68,32.0,74.8,0
37,34.0,67.7,1
75,39.5,38.9,1
51,29.4,80.1,0
54,25.1,75.2,0
71,35.5,82.2,0
66,24.0,69.9,0
15,27.7,63.7,1
37,19.7,53.0,1
37,18.6,81.3,0
53,39.2,77.6,0
39,36.4,32.5,1
71,33.3,31.5,1
71,27.0,50.7,0
10,21.8,74.6,0
36,21.4,84.3,0
71,23.5,38.3,0
12,30.1,62.7,1
79,33.7,50.9,1
36,32.5,83.3,1
18,24.2,76.3,0
71,39.0,76.1,0
46,34.2,55.8,1
60,30.2,52.8,0
53,31.5,45.0,0
33,27.2,33.1,1
68,23.5,77.6,0
41,25.8,74.7,0
61,34.7,85.0,0
71,18.3,84.8,0
67,20.6,60.5,0
61,19.0,72.3,0
21,18.9,82.0,0
48,36.8,76.7,0
11,33.5,43.6,1
12,28.4,54.8,1
65,20.2,37.1,0
68,28.8,82.5,0
11,28.4,63.3,1
11,21.8,42.6,1
63,27.5,66.9,0
10,26.8,64.0,1
28,31.5,49.7,1
11,32.0,36.2,1
62,19.0,66.9,0
53,26.2,58.6,0
41,31.8,72.5,0
79,29.1,58.6,0
41,36.8,76.9,1
77,32.5,60.4,1
64,21.6,60.9,0
65,19.6,78.2,0
26,32.1,52.2,1
47,18.6,37.4,0
33,30.9,31.6,1
78,38.7,71.5,0
79,30.7,64.1,0
20,26.5,68.7,1
25,32.2,41.7,1
68,28.1,37.5,0
79,30.0,30.8,0
12,38.7,49.3,1
29,26.5,62.4,1
68,39.1,51.6,1
45,37.9,54.1,1
28,22.3,79.7,0
76,19.5,49.2,0
28,20.2,58.3,1
29,18.4,73.1,0
80,20.1,51.8,0
61,33.0,64.2,1
42,19.6,77.4,0
49,25.0,82.2,0
48,36.6,38.1,1
10,18.5,81.0,0
20,35.9,57.1,1
66,24.2,44.2,0
59,20.6,55.3,0
32,33.3,83.9,1
40,31.8,57.1,1
